x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
-0.7548861,1.1770039,0.07627332,1.1110308,1.1397419,1.1414869,0.003244996,-0.016077578,-0.041472733,-0.13657135,-71.71678,-71.98467,-71.27718,-78.809494,-18.283222,-18.015324,-18.722818,-11.190503,161.71678,161.98468,161.27719,168.8095,129.11165,128.84375,129.55124,122.018936,32.143642,33.620186,35.251755,15.574857,4.840043,4.829352,4.8007636,4.6709485
-0.7778389,1.1540511,0.08126414,1.088078,1.1167891,1.1185341,-0.0028531551,-0.028113902,-0.05824077,-0.16778404,-67.73715,-71.01327,-69.73108,-71.46383,-22.262846,-18.98673,-20.268927,-18.536175,157.73715,161.01328,159.73108,161.46384,133.09128,129.81516,131.09735,129.3646,34.490784,34.891838,35.82831,13.459223,4.752233,4.7422442,4.7164116,4.5840244
-0.7585708,1.1733192,0.07316303,1.1073462,1.1360573,1.1378022,0.0017933846,-0.023088992,0.003404498,-0.15116489,-68.90002,-68.11324,-65.12771,5.741108,-21.099987,-21.886745,-24.87229,-84.2589,158.90002,158.11325,155.12772,84.258896,131.9284,132.71518,135.70071,153.43047,33.778965,33.702713,33.50697,10.039365,4.8411884,4.8330116,4.8085136,4.682971
-0.7338239,1.1980661,0.06992328,1.1320931,1.1608042,1.1625491,0.005987525,-0.011458695,0.0135012865,-0.12109816,-69.56539,-67.35655,-64.63086,22.48032,-20.434612,-22.643448,-25.369135,-67.519684,159.5654,157.35655,154.63086,67.519684,131.26303,133.47188,136.19757,136.69125,32.445442,32.52315,32.702454,13.501406,4.9627314,4.9554195,4.9284177,4.8081512
-0.7188957,1.2129943,0.0742321,1.1470213,1.1757324,1.1774774,0.0058283806,-0.0067453384,0.01467979,-0.100926876,-69.29031,-67.90186,-64.53523,16.96205,-20.709692,-22.098133,-25.46477,-73.03795,159.29031,157.90186,154.53523,73.03795,131.53812,132.92657,136.2932,142.20952,31.097813,31.915495,32.48588,13.1137495,5.0467196,5.0395627,5.0110254,4.895061
-0.7068809,1.2250091,0.073165596,1.159036,1.1877471,1.1894921,0.011086404,0.0017498732,0.023338437,-0.086853504,-67.50349,-67.32632,-64.20308,25.705051,-22.496513,-22.673683,-25.796925,-64.294945,157.50348,157.32632,154.20308,64.29495,133.32495,133.5021,136.62535,133.46652,29.06892,31.511145,32.23686,15.488121,5.099314,5.0928035,5.0635767,4.951196
-0.7074037,1.2244862,0.062381804,1.1585133,1.1872244,1.1889694,-0.003073573,-0.011700511,0.007602036,-0.08226591,-67.59066,-70.47388,-65.0503,-20.620811,-22.409344,-19.52613,-24.949701,-69.379196,157.59067,160.47388,155.0503,110.62081,133.23776,130.35455,135.77814,179.79237,29.563448,31.287066,32.384495,10.984479,5.1585174,5.150608,5.12087,5.007788
-0.72485447,1.2070355,0.05556512,1.1410625,1.1697736,1.1715186,-0.006381631,-0.018056393,0.0011602044,-0.101631224,-73.42385,-72.41196,-68.28399,-62.649475,-16.576143,-17.588045,-21.71601,-27.350523,163.42386,162.41196,158.284,152.64948,127.40457,128.41647,132.54443,138.17896,30.590357,31.439682,33.558052,12.83835,5.0492826,5.039069,5.0094495,4.8893385
-0.7514221,1.1804678,0.07790518,1.1144948,1.1432059,1.1449509,0.0020381212,-0.016611218,-0.041856527,-0.13008916,-77.0909,-72.196144,-72.080826,-83.288864,-12.909096,-17.803862,-17.91918,-6.7111397,167.0909,162.19614,162.08083,173.28886,123.73753,128.6323,128.7476,117.539566,30.908495,32.991814,35.260437,17.382936,4.8748183,4.8640795,4.8331738,4.704691
-0.76633,1.16556,0.09759992,1.099587,1.128298,1.130043,0.0058541894,-0.016966522,-0.06314504,-0.15073574,-72.57535,-71.7177,-71.72601,-82.58376,-17.424648,-18.282295,-18.273993,-7.416234,162.57535,161.7177,161.72601,172.58377,128.25308,129.11073,129.10242,118.24466,33.67554,34.333443,35.804577,16.487371,4.7733626,4.7627993,4.733848,4.6016736
-0.7793858,1.1525042,0.09445429,1.0865312,1.1152422,1.1169872,0.00015485287,-0.023123324,-0.07697767,-0.16723192,-70.715836,-71.62959,-71.39754,-80.55107,-19.284172,-18.370401,-18.602459,-9.448925,160.71584,161.6296,161.39754,170.55107,130.1126,129.19884,129.4309,120.27736,34.808548,35.018936,36.22542,16.209435,4.7322736,4.7217855,4.6942115,4.560858
-0.7906876,1.1412023,0.08315247,1.0752294,1.1039405,1.1056855,9.8109245e-5,-0.026389599,-0.099975884,-0.17916572,-72.450966,-71.55633,-71.13213,-84.603294,-17.549036,-18.443676,-18.867868,-5.396713,162.45096,161.55634,161.13214,174.6033,128.37747,129.2721,129.69629,116.22513,35.801674,35.91355,36.48278,17.68487,4.6876464,4.6770396,4.6483407,4.514591
-0.78745025,1.1444397,0.083185375,1.0784667,1.1071777,1.1089227,-0.0041263103,-0.033088982,-0.06689942,-0.18176049,-67.73543,-70.57879,-68.930374,-67.9279,-22.264576,-19.421211,-21.069628,-22.0721,157.73543,160.5788,158.93037,157.9279,133.093,130.24963,131.89806,132.90053,35.194984,35.4695,36.309578,12.773379,4.720431,4.7107625,4.685821,4.5536637
-0.7712751,1.1606148,0.077106714,1.0946419,1.123353,1.125098,0.00049585104,-0.029283166,-0.007279277,-0.16603494,-68.62262,-68.68169,-65.36593,-13.321875,-21.37738,-21.318321,-24.634068,-76.67813,158.62262,158.68169,155.36594,103.32188,132.20581,132.14674,135.4625,172.49344,34.83138,34.57275,34.681904,8.706716,4.784674,4.776549,4.752275,4.6246314
-0.7584998,1.1733902,0.07324219,1.1074171,1.1361282,1.1378732,0.002921462,-0.020924568,0.008656204,-0.15250409,-68.612656,-67.15193,-64.18342,25.22278,-21.387339,-22.848066,-25.816587,-64.77722,158.61266,157.15193,154.18341,64.77722,132.21577,133.6765,136.64502,133.94879,34.12778,33.41785,33.415558,13.360888,4.8604555,4.852956,4.8287697,4.7055163
-0.73678565,1.1951044,0.081483245,1.1291313,1.1578424,1.1595874,0.0102157,-0.006781459,0.018145263,-0.12668371,-68.74862,-66.50735,-64.185555,35.437664,-21.25138,-23.492655,-25.814444,-54.56234,158.74863,156.50735,154.18555,54.562332,132.0798,134.32108,136.64288,123.7339,33.1789,32.65057,32.634323,17.089489,4.937991,4.9308505,4.9051223,4.785073
-0.7105876,1.2213024,0.074578404,1.1553293,1.1840404,1.1857854,0.014003694,0.00094264746,0.023154795,-0.09203553,-66.34908,-63.795673,-63.97556,31.948347,-23.650913,-26.204327,-26.02444,-58.05165,156.34909,153.79567,153.97556,58.05165,134.47934,137.03276,136.85287,127.22322,29.424229,31.11613,32.171833,17.774782,5.0845947,5.0781083,5.0501437,4.9373097
-0.69685906,1.2350309,0.067946136,1.1690578,1.1977689,1.1995139,0.0073747635,-0.0008146763,0.022989213,-0.07110149,-65.88141,-64.93049,-64.05261,10.598978,-24.118599,-25.069515,-25.947386,-79.401024,155.88141,154.93048,154.05261,79.401024,134.94702,135.89795,136.77582,148.57259,27.219332,30.380087,31.858253,14.094461,5.1941996,5.188148,5.1588655,5.0510406
-0.69198376,1.2399062,0.05900085,1.1739333,1.2026443,1.2043893,0.0026506782,-0.0034083128,0.015085995,-0.062411845,-66.19458,-69.12285,-64.29199,-14.554813,-23.805414,-20.87715,-25.708004,-75.44518,156.19458,159.12285,154.29199,104.55481,134.63385,131.70558,136.53644,173.72638,27.706657,31.036367,31.941122,11.981552,5.2512527,5.2445955,5.214526,5.107363
