species,dd long,dd lat
Btrigonus,15976,1
Btrigonus,15978,1
Btrigonus,15980,1
Btrigonus,15981,1
Btrigonus,16102,1
Btrigonus,16104,1
Btrigonus,16105,1
Btrigonus,16106,1
Btrigonus,16108,1
Btrigonus,16109,1
Btrigonus,16235,1
Btrigonus,16241,1
Btrigonus,16246,1
Btrigonus,16262,1
Btrigonus,16263,1
Btrigonus,16264,1
Btrigonus,16269,1
Btrigonus,16382,1
Btrigonus,16383,1
Btrigonus,16384,1
Btrigonus,16385,1
Btrigonus,16387,1
Btrigonus,16388,1
Btrigonus,16389,1
Btrigonus,16495,1
Btrigonus,16496,1
Btrigonus,16497,1
Btrigonus,16498,1
Btrigonus,16499,1
Btrigonus,16500,1
Btrigonus,16501,1
Btrigonus,16524,1
Btrigonus,16636,1
Btrigonus,16638,1
Btrigonus,16641,1
Btrigonus,16642,1
Btrigonus,16643,1
Btrigonus,16765,1
Btrigonus,16766,1
Btrigonus,16767,1
Btrigonus,16768,1
Btrigonus,16769,1
Btrigonus,16771,1
Btrigonus,16797,1
Btrigonus,16906,1
Btrigonus,17027,1
Btrigonus,17033,1
Btrigonus,17034,1
Btrigonus,17057,1
Btrigonus,17160,1
Btrigonus,17161,1
Btrigonus,17162,1
Btrigonus,17163,1
Btrigonus,17179,1
Btrigonus,17418,1
Btrigonus,17419,1
Btrigonus,17421,1
Btrigonus,17422,1
Btrigonus,17424,1
Btrigonus,17438,1
Btrigonus,17439,1
Btrigonus,17440,1
Btrigonus,17566,1
Btrigonus,17567,1
Btrigonus,17683,1
Btrigonus,17684,1
Btrigonus,17685,1
Btrigonus,17694,1
Btrigonus,17695,1
Btrigonus,17696,1
Btrigonus,17944,1
Btrigonus,18187,1
Btrigonus,18188,1
Btrigonus,18189,1
Btrigonus,18322,1
Btrigonus,18423,1
Btrigonus,18424,1
Btrigonus,18426,1
Btrigonus,18566,1
Btrigonus,18871,1
Btrigonus,18872,1
Btrigonus,18873,1
Btrigonus,19105,1
Btrigonus,19111,1
Btrigonus,19112,1
Btrigonus,19113,1
Btrigonus,19254,1
Btrigonus,19255,1
Btrigonus,19331,1
Btrigonus,19333,1
Btrigonus,19334,1
Btrigonus,19335,1
Btrigonus,19336,1
Btrigonus,19337,1
Btrigonus,19338,1
Btrigonus,19342,1
Btrigonus,19477,1
Btrigonus,19533,1
Btrigonus,19534,1
Btrigonus,19551,1
Btrigonus,19552,1
Btrigonus,19553,1
Btrigonus,19554,1
Btrigonus,19688,1
Btrigonus,19693,1
Btrigonus,19694,1
Btrigonus,19727,1
Btrigonus,19749,1
Btrigonus,19756,1
Btrigonus,19757,1
Btrigonus,19758,1
Btrigonus,19762,1
Btrigonus,19892,1
Btrigonus,19893,1
Btrigonus,19930,1
Btrigonus,19931,1
Btrigonus,19944,1
Btrigonus,19955,1
Btrigonus,19956,1
Btrigonus,19957,1
Btrigonus,19958,1
Btrigonus,19959,1
Btrigonus,19961,1
Btrigonus,19962,1
Btrigonus,20100,1
Btrigonus,20101,1
Btrigonus,20118,1
Btrigonus,20150,1
Btrigonus,20159,1
Btrigonus,20160,1
Btrigonus,20161,1
Btrigonus,20162,1
Btrigonus,20163,1
Btrigonus,20164,1
Btrigonus,20165,1
Btrigonus,20166,1
Btrigonus,20167,1
Btrigonus,20168,1
Btrigonus,20169,1
Btrigonus,20171,1
Btrigonus,20319,1
